id	title	price	condition	availability	channel	feed label	language	additional image link	age group	all clicks	brand	canonical link	checkout link template	description	google product category	image link	link	merchant item id	mpn	pause	shipping weight	shopify product id	shopify store domain	update type	gtin	product_type	product_type_key	retailprice	google_product_category
nk06-be-fr	Nurosym | Stimulation Nerf Vague avec Certification CE	700.00 EUR	new	in stock	Online	EUR-BE-FR	fr		adult	2	Nurosym	https://nurosym.com/fr/products/nurosym	https://nurosym.com/fr/cart/53797242503553:1	Nurosym est un appareil de stimulation du nerf vague certifié CE et validé cliniquement, conçu pour soutenir le système nerveux à domicile.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/fr-01.png?v=1778233246	https://nurosym.com/fr/products/nurosym?currency=EUR&country=BE&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	700.00 EUR	8541
nk06-gb-en	Nurosym | CE-Certified Vagus Nerve Stimulation Device at Home	599.00 GBP	new	in stock	Online	GB	en	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/en-02.png?v=1778172014,https://cdn.shopify.com/s/files/1/0407/1794/2938/files/en-03.png?v=1773317346,https://cdn.shopify.com/s/files/1/0407/1794/2938/files/en-03-3.png?v=1778171607,https://cdn.shopify.com/s/files/1/0407/1794/2938/files/en-04_c6b8e201-2477-4f9f-baed-e71233aca555.png?v=1778169609,https://cdn.shopify.com/s/files/1/0407/1794/2938/files/en-06_db9fbf4d-f7da-4b2e-b874-7ea6e931e95c.png?v=1778168961,https://cdn.shopify.com/s/files/1/0407/1794/2938/files/en-07.1.png?v=1778231706,https://cdn.shopify.com/s/files/1/0407/1794/2938/files/en-08.png?v=1773317346	adult	227	Nurosym	https://nurosym.com/products/nurosym	https://nurosym.com/cart/53797242503553:1	Nurosym is a clinically validated, CE-certified wearable vagus nerve stimulator supporting nervous system health through targeted neuromodulation at home.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/en-02.png?v=1778172014	https://nurosym.com/en-gb/products/nurosym?currency=GBP&country=GB&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	599.00 GBP	8541
nk06-ch-it	Nurosym | Stimolazione del Nervo Vago con Neuromodulazione	650.00 CHF	new	in stock	Online	CHF-CH-IT	it		adult	2	Nurosym	https://nurosym.com/it/products/nurosym	https://nurosym.com/it/cart/53797242503553:1	Nurosym è un dispositivo CE per la stimolazione non invasiva del nervo vago. Con una tecnologia clinicamente testata, supporta la salute del sistema nervoso.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/it-01.png?v=1778233246	https://nurosym.com/it/products/nurosym?currency=CHF&country=CH&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	650.00 CHF	8541
nk06-nl-nl	Nurosym | Nervus Vagus Stimulatie met CE-Certificering	700.00 EUR	new	in stock	Online	EUR-NL-NL	nl		adult	20	Nurosym	https://nurosym.com/nl-nl/products/nurosym	https://nurosym.com/nl-nl/cart/53797242503553:1	Nurosym is een klinisch gevalideerd en CE-gecertificeerd nervus vagus stimulatie apparaat dat het zenuwstelsel ondersteunt met veilige, niet-invasieve neuromodulatie.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/nl-01.png?v=1778233246	https://nurosym.com/nl-nl/products/nurosym?currency=EUR&country=NL&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	700.00 EUR	8541
nk06-de-de	Nurosym | Vagusnervstimulation Gerät mit CE-Zertifizierung	700.00 EUR	new	in stock	Online	EUR-DE-DE	de		adult	65	Nurosym	https://nurosym.com/de-de/products/nurosym	https://nurosym.com/de-de/cart/53797242503553:1	Nurosym ist ein klinisch validiertes Vagusnervstimulation Gerät mit CE-Zertifizierung zur Unterstützung des Nervensystems zu Hause.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/de-01.png?v=1778233234	https://nurosym.com/de-de/products/nurosym?currency=EUR&country=DE&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	700.00 EUR	8541
nk06-it-it	Nurosym | Stimolazione del Nervo Vago con Neuromodulazione	700.00 EUR	new	in stock	Online	EUR-IT-IT	it		adult	27	Nurosym	https://nurosym.com/it-it/products/nurosym	https://nurosym.com/it-it/cart/53797242503553:1	Nurosym è un dispositivo CE per la stimolazione non invasiva del nervo vago. Con una tecnologia clinicamente testata, supporta la salute del sistema nervoso.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/it-01.png?v=1778233246	https://nurosym.com/it-it/products/nurosym?currency=EUR&country=IT&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	700.00 EUR	8541
nk06-fr-fr	Nurosym | Stimulation Nerf Vague avec Certification CE	700.00 EUR	new	in stock	Online	EUR-FR-FR	fr		adult	29	Nurosym	https://nurosym.com/fr-fr/products/nurosym	https://nurosym.com/fr-fr/cart/53797242503553:1	Nurosym est un appareil de stimulation du nerf vague certifié CE et validé cliniquement, conçu pour soutenir le système nerveux à domicile.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/fr-01.png?v=1778233246	https://nurosym.com/fr-fr/products/nurosym?currency=EUR&country=FR&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	700.00 EUR	8541
nk06-at-de	Nurosym | Vagusnervstimulation Gerät mit CE-Zertifizierung	700.00 EUR	new	in stock	Online	EUR-AT-DE	de		adult	18	Nurosym	https://nurosym.com/de/products/nurosym	https://nurosym.com/de/cart/53797242503553:1	Nurosym ist ein klinisch validiertes Vagusnervstimulation Gerät mit CE-Zertifizierung zur Unterstützung des Nervensystems zu Hause.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/de-01.png?v=1778233234	https://nurosym.com/de/products/nurosym?currency=EUR&country=AT&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	700.00 EUR	8541
nk06-be-nl	Nurosym | Nervus Vagus Stimulatie met CE-Certificering	700.00 EUR	new	in stock	Online	EUR-BE-NL	nl		adult	6	Nurosym	https://nurosym.com/nl/products/nurosym	https://nurosym.com/nl/cart/53797242503553:1	Nurosym is een klinisch gevalideerd en CE-gecertificeerd nervus vagus stimulatie apparaat dat het zenuwstelsel ondersteunt met veilige, niet-invasieve neuromodulatie.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/nl-01.png?v=1778233246	https://nurosym.com/nl/products/nurosym?currency=EUR&country=BE&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	700.00 EUR	8541
nk06-se-sv	Nurosym | Vagusnervstimulering med CE-certifiering	7700.00 SEK	new	in stock	Online	SEK-SE-SV	sv		adult	19	Nurosym	https://nurosym.com/sv-se/products/nurosym	https://nurosym.com/sv-se/cart/53797242503553:1	Nurosym är en kliniskt validerad och CE-certifierad enhet för vagusnervstimulering som stödjer nervsystemets hälsa genom säker och icke-invasiv neuromodulering i hemmet.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/sv-01.png?v=1778233246	https://nurosym.com/sv-se/products/nurosym?currency=SEK&country=SE&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	7700.00 SEK	8541
nk06-ch-de	Nurosym | Vagusnervstimulation Gerät mit CE-Zertifizierung	650.00 CHF	new	in stock	Online	CHF-CH-DE	de		adult	7	Nurosym	https://nurosym.com/de/products/nurosym	https://nurosym.com/de/cart/53797242503553:1	Nurosym ist ein klinisch validiertes Vagusnervstimulation Gerät mit CE-Zertifizierung zur Unterstützung des Nervensystems zu Hause.	8541	https://cdn.shopify.com/s/files/1/0407/1794/2938/files/de-01.png?v=1778233234	https://nurosym.com/de/products/nurosym?currency=CHF&country=CH&variant=53797242503553&utm_source=criteo&utm_medium=display&utm_campaign=criteo_retargeting	gid://shopify/ProductVariant/53797242503553	NK06		2 kg	gid://shopify/Product/6563712827546	nurosym.myshopify.com	merge	5060956120015	Vagus Nerve Stimulator	vagus-nerve-stimulator	650.00 CHF	8541
